㐀	⿱⿰↔⺊⺊一
䳵	⿰⿰⿻木从力鳥
䳶	⿰鳥⿱爫⿱幺大
䳷	⿱⿰彳⿱从⿺人⺊鳥
䳸	⿸⿸广林鳥
䳹	⿰鳥⿱宀⿺⿱一⿱一儿攴
䳺	⿰⿱⿱⿵𠆢丶乛酉鳥
䳻	⿱⿰車斤鳥
䳼	⿰鳥⿷匚⿱口吅
䳽	⿰⿱山隹鳥
䳾	⿰⿱⿰豆鳥
䳿	⿰⿱⿰⿻夕丶犬灬鳥
䴀	⿰⿱立⿻日土鳥
䴁	⿰⿱宀⿻日⿻冂厶鳥
䴂	⿰⿻⿱⺈口𧰨鳥
䴃	⿰⿱⿱土⿰土土⿱一儿鳥
䴄	⿰⿳爫冖⿰夕⿻⿱一𠃋丨鳥
䴅	⿰⿱⿱十廾貝鳥
䴆	⿰⿳⿱⿻⿰丨丨丷一䒑⿻二人鳥
䴇	⿰⿱雨⿱⿵𠆢丶⿱乛丶鳥
䴈	⿰⿳㇒⿵冂米大鳥
䴉	⿰⿳罒⿱一口𧘇鳥
䴊	⿰⿱⿱䒑土⿻⿱㇒扌鳥
䴋	⿰鳥⿳罒⿱一口𧘇
䴌	⿰鳥⿱艹⿳冖一豕
䴍	⿰⿰貝貝鳥
䴎	⿱⿱田⿰田田鳥
䴏	⿰⿳⿱⿻一⿰丨丨一⿴⿰匕口灬鳥
䴐	⿰⿱⿱宀⿰𤣩缶貝鳥
䴑	⿰⿱⿱田⿰田田⿱冖且鳥
䴒	⿰⿱⿱雨⿲口口口⿻工从鳥
䴓	⿰⿱一巾鸟
䴔	⿰⿱亠⿱八乂鸟
䴕	⿱⿰歹刂鸟
䴖	⿰⿱⿻土一⺝鸟
䴗	⿰⿱目犬鸟
䴘	⿰⿸⿱㇒丿虎鸟
䴙	⿰⿰⿸尸口辛鸟
䴚	⿰⿱⺊⿴囗⿻㐅⿳丶⿰丶丶丶⿱亠几
䴛	⿰⿱⺊⿴囗⿻㐅⿳丶⿰丶丶丶⿱⺌⺝
䴜	⿰⿱⺊⿴囗⿻㐅⿳丶⿰丶丶丶鬼
䴝	⿰⿱⺊⿴囗⿻㐅⿳丶⿰丶丶丶⿱日⿸耳又
䴞	⿰⿱⺊⿴囗⿻㐅⿳丶⿰丶丶丶⿱羽隹
䴟	⿸鹿⿵几丶
䴠	⿸鹿⿱㇒大
䴡	⿸⿱⿱一⿱⿻⿰丨丨丷一丿⿱比
䴢	⿸鹿木
䴣	⿰鹿⿻⿱㇒⿻一亅丷
䴤	⿸鹿生
䴥	⿸鹿⿰力口
䴦	⿸鹿言
䴧	⿰鹿⿱禾女
䴨	⿰鹿⿸厂⿱白小
䴩	⿸鹿⿱⿱一⿻口⿰丨丨示
䴪	⿸鹿⿰礻⿱⿰冫⿰亅
䴫	⿰鹿⿱雨⿱⿵𠆢丶⿱乛丶
䴬	⿰麥⿺⿻㇐㇂丶
䴭	⿰麥⿹⿻一亅㇒
䴮	⿰麥山
䴯	⿰麥勿
䴰	⿰麥戈
䴱	⿰麥⿱宀匕
䴲	⿰麥⿻一木
䴳	⿰麥穴
䴴	⿰麥⿱⺊口
䴵	⿰麥⿱丷⿱一廾
䴶	⿰麥⿱夂⿻三丨
䴷	⿰麥⿱宀⿱一⿱一儿
䴸	⿰麥⿱爫子
䴹	⿰麥⿻日木
䴺	⿰麥⿱立口
䴻	⿱⿰禾麥
䴼	⿰麥⿱戈戈
䴽	⿰麥⿱⿱㇒⿻日丿十
䴾	⿰麥⿸⺶工
䴿	⿰麥⿳冖一豕
䵀	⿰麥⿱⺌貝
䵁	⿰麥⿰爿⿱⿻夕丶寸
䵂	⿰麥⿳亠丷⿵冂古
䵃	⿰麥⿳⿱⿻一⿰丨丨一由八
䵄	⿰麥⿱⿻口⿻一⿰丨丨豆
䵅	⿱⿰⿱⿻土一⿰丿𠃌攵麥
䵆	⿰麥⿱艹⿳冖一豕
䵇	⿰⿸广林攵
䵈	⿱⿰彳⿱幺夊⿸广林
䵉	⿸⿸广林⿱⿰⺝刂
䵊	⿰⿻⿻⺆一丶⿳⿱⿻一⿰丨丨一由八
䵋	⿰⿳⿱⿻一⿰丨丨一由八⿸⿻一丿⺝
䵌	⿰⿳⿱⿻一⿰丨丨一由八⿻大从
䵍	⿰⿳⿱⿻一⿰丨丨一由八⿳亠口子
䵎	⿰⿳⿱⿻一⿰丨丨一由八⿱山⿱一⿱㇒⿵冂⿰丨丨
䵏	⿰⿳⿱⿻一⿰丨丨一由八⿱羽⿱𠆢彡
䵐	⿰⿳⿱⿻一⿰丨丨一由八⿱吅⿻⿻日丨一
䵑	⿰⿱禾⿱𠆢⿴亅⿹刀㇒
䵒	⿰⿱禾⿱𠆢⿴亅日
䵓	⿰⿱禾⿱𠆢⿴亅牛
䵔	⿰⿱禾⿱𠆢⿴亅⿻木日
䵕	⿰⿱禾⿱𠆢⿴亅⿸尸古
䵖	⿱⿰⿷匚⿳丨丨又⿱禾⿱𠆢⿴亅
䵗	⿰⿱禾⿱𠆢⿴亅⿱⿱一口田
䵘	⿰⿱禾⿱𠆢⿴亅⿱⿱日一勿
䵙	⿰⿱禾⿱𠆢⿴亅⿱大多
䵚	⿰⿱禾⿱𠆢⿴亅⿱爫臼
䵛	⿰⿱禾⿱𠆢⿴亅⿱⿰⿷匚⿳丨丨又土
䵜	⿰⿱禾⿱𠆢⿴亅⿱⿻口⿻一⿰丨丨⿸厂⿱二
䵝	⿰黑乚
䵞	⿰黑刂
䵟	⿰黑干
䵠	⿰黑⿹勹丶
䵡	⿱⿱一大黑
䵢	⿰黑⿻一木
䵣	⿰黑⿱日一
䵤	⿱⿱一廾黑
䵥	⿰黑⿱⺈巴
䵦	⿰黑⿰氵⿱一⿻一亅
䵧	⿹⿻戈十黑
䵨	⿰黑⿻⿸⿺⿻一丿丶⿻乚㇒⿱㇒㇒
䵩	⿱⿰禾刂黑
䵪	⿰黑⿱日比
䵫	⿱⿱宀⿰夕㔾黑
䵬	⿰黑⿱水日
䵭	⿰黑⿱⿻土㇒日
䵮	⿰黑⿱⿱日一勿
䵯	⿰黑⿳㇒車一
䵰	⿰黑⿱𠂉⿱⿱日一勿
䵱	⿰黑⿱⿳士口䒑口
䵲	⿰黑⿱⿱口吅木
䵳	⿰黑⿱⿱⿻⿴囗丨丷日
䵴	⿰黑⿷⿹⿷匚一𫜹
䵵	⿱⿱𥫗⿱目大黑
䵶	⿰⿹勹口⿷⿹⿷匚一𫜹
䵷	⿰⿱土土⿷⿹⿷匚一𫜹
䵸	⿱⿰禾火⿷⿹⿷匚一𫜹
䵹	⿱⿰⿰矢口⿱一⿻一亅⿷⿹⿷匚一𫜹
䵺	⿰土⿶⿰爿片目
䵻	⿰⿶⿰爿片目⿱⿰⿻三丨⿻三丨𫜹
䵼	⿱⿰爿⿱⿻夕丶寸⿶⿰爿片目
䵽	⿱⿰⿳士口䒑支去
䵾	⿱⿰亻寸⿰⿳士口䒑支
䵿	⿱⿰⿳士口䒑支⿱⺊口
䶀	⿱⿰⿳士口䒑支合
䶁	⿱⿰⿳士口䒑支⿱水日
䶂	⿰⿱臼⿹勹丶
䶃	⿰⿱臼⿱⿵𠆢丶乛
䶄	⿰⿱臼⿻干丷
䶅	⿰⿱臼⿱夂口
䶆	⿰⿱臼隹
䶇	⿰⿱臼⿱由⺝
䶈	⿰⿱臼⿱⿺⿻十⺝丶寸
䶉	⿰⿱臼⿱⿰刀田
䶊	⿰⿱自⿱田⿱一⿰丿丨⿻丨
䶋	⿰⿱自⿱田⿱一⿰丿丨及
䶌	⿰⿱自⿱田⿱一⿰丿丨⿹勹巳
䶍	⿰⿱⿱一厶土⿱自⿱田⿱一⿰丿丨
䶎	⿰⿱自⿱田⿱一⿰丿丨合
䶏	⿰⿱丷⿹⿻弓丨㇒⿱自⿱田⿱一⿰丿丨
䶐	⿰⿱自⿱田⿱一⿰丿丨⿱⿱⿻⿴囗丨丷日
䶑	⿰⿱自⿱田⿱一⿰丿丨⿳⿱士冖田⿱厶⿺人⺊
䶒	⿵⿱⿲丿二丨女
䶓	⿰巾⿱⿲丿二丨
䶔	⿰齒⿻乜丨
䶕	⿰齒巴
䶖	⿰齒⿱⿵𠆢丶乛
䶗	⿰齒⿹丁口
䶘	⿰齒立
䶙	⿰齒⿷匚
䶚	⿰齒虫
䶛	⿱⿰歹刂齒
䶜	⿰齒⿱⿰㇒土口
䶝	⿰齒⿻大从
䶞	⿰齒⿱八
䶟	⿰齒⿱⺈臼
䶠	⿱⿵⿰丿戈⿱一口齒
䶡	⿰齒⿰貝刂
䶢	⿰齒⿵⿰丿戈⿱一口
䶣	⿰齒⿱山豆
䶤	⿰齒骨
䶥	⿰齒⿸虍且
䶦	⿰齒⿱⿻土一貝
䶧	⿰齒⿱⿱土⿰土土⿱一儿
䶨	⿰齒⿳吅从
䶩	⿰齒⿱⿲丿二丨
䶪	⿰齒⿹⿻戈十隹
䶫	⿰齒⿱吅⿸厂⿰⿱乛耳攵
䶬	⿱⿰干干⿰⿱立⺝
䶭	⿺⿸⿺⿻一丿丶⿻乚㇒王
䶮	⿱⿸⿺⿻一丿丶⿻乚㇒⿱一大
䶯	⿰女⿱㇒⿷⿹
䶰	⿰⿱㇒⿷⿹毛
䶱	⿰⿱夂⺀⿱㇒⿷⿹
䶲	⿰⿻冂土⿱㇒⿷⿹
䶳	⿰⿳⿲口口口⿵冂⿻一⿰丨丨⿱亠几
䶴	⿱⿰火欠⿳⿲口口口⿵冂⿻一⿰丨丨
䶵	⿰⿳⿲口口口⿵冂⿻一⿰丨丨⿸⿱㇒丿虎
䶶	⿱⿱⺊一⿰扌⿱日⿱一⿺人⺊
䶷	⿰口儿
䶸	⿰口⿱㇒厶
䶹	⿻凵丿
䶺	⿰月⿻冂入
䶻	⿰月⿸⿻冖丿乚
䶼	⿰月⿱⿱八厶心
䶽	⿰月⿳⿶凵㐅八夊
䶾	⿰⿻臼人欠
䶿	⿰飠儿
一	一
丁	丁
丂	⿱一㇉
七	〾⿻乚一
丄	⿱丨一
丅	⿱一丨
丆	⿱一丿
万	⿸⿱一丿𠃌
丈	⿻⿻一丿乀
三	三
上	⿱⺊一
下	⿱一卜
丌	⿱一⿰丿丨
不	不
与	⿹一
丏	⿱⿱一丨⿰𠃊𠃌
丐	⿱⿸⿱一丨一㇉
丑	⿻丨
丒	⿱⿹刀㇒一
专	⿱⿻一⿻一㇉丶
且	且
丕	⿱不一
世	⿻⿱⿻一⿰丨丨一𠃊
丗	⿻⿱⿻一⿰丨丨一丨
丘	⿱㇒⿺⿱丨一⿱一丨
丙	⿱一⿻冂人
业	⿱⿻⿰丨丨丷一
丛	⿱从一
东	⿻⿻一𠃋小
丝	⿱⿰一
丞	⿱⿱乛水一
丟	⿱一去
丠	⿱⿰匕一
両	⿻⿱一冂山
丢	⿱㇒去
丣	⿱一⿰⿰匚丿⿰丨
两	⿱一⿻冂从
严	⿱⿱一⿱⿻⿰丨丨丷一丿
並	⿱䒑⿱⿻⿰丨丨丷一
丧	⿱⿻土丷
丨	丨
丩	⿰𠄌丨
个	⿱𠆢丨
丫	⿱丷丨
丬	⿰冫丨
中	⿻口丨
丮	⿹⺄⿻二丨
丯	⿻彡丨
丰	⿻三丨
丱	⿰⿰𠄌丿⿰丨𠃎
串	⿻⿱口口丨
丳	⿻⿱口口⿰丿丨
临	⿲丨丨⿱⿱𠂉丶⿴囗丨
丵	⿱⿱⿻⿰丨丨丷一⿱丷干
丶	丶
丷	丷
丸	⿻九丶
丹	⿻⿻⺆一丶
为	⿻⿵力丶丶
主	⿱丶王
丼	⿴⿻二⿰丿丨丶
丽	⿱一⿰⿵冂丶⿵冂丶
举	⿱⿳⿲丶丶㇒一八⿻二丨
丿	丿
乀	乀
乁	乁
乂	乂
乃	⿹𠄎丿
乄	乄
久	久
乆	乆
乇	⿱㇒〾⿻乚一
么	⿱㇒厶
义	⿶乂丶
乊	⿱㇒丷
之	⿱丶
乌	乌
乍	⿸⿱𠂉丨二
乎	⿻⿱㇒⿻一亅丷
乏	⿱㇒⿱丶
乐	⿻⿱㇒𠃋小
乑	⿱㇒⿰⿱㇒㇒⿰丨
乒	⿱⿱㇒⿺⿱丨一⿱一丨㇒
乓	⿱⿱㇒⿺⿱丨一⿱一丨丶
乔	⿱⿱㇒大⿰丿丨
乕	⿸⿱㇒丿⿻二巾
乖	⿻⿱㇒十⿰匕
乗	⿻禾⿱⿻一⿰丨丨一
乘	⿻禾⿰匕
乙	乙
乚	乚
乛	乛
乜	乜
九	九
乞	⿱𠂉乙
也	⿻乜丨
习	⿹𠃌冫
乡	乡
乢	⿰山乚
乣	⿰幺乚
乤	⿱⿱一卜乙
乥	⿱⿱㇒丷乙
书	⿺⿻⿱𠃍𠃌丨丶
乧	⿱⿻十⺀乙
乨	⿰⿱厶口乚
乩	⿰⿱⺊口乚
乪	⿺乙田
乫	⿱⿰力口乙
乬	⿱⿷匚乙
乭	⿱石乙
乮	⿱⿰⿰丿卩乙
乯	⿱⿻⿱㇒⿻一亅丷乙
买	⿱乛⿻⺀大
乱	⿰舌乚
乲	⿱⿰冫欠乙
乳	⿰⿱爫子乚
乴	⿱⿰扌斤乙
乵	⿰辛乚
乶	⿱⿺⿻十⺝丶乙
乷	⿱⿰氵少乙
乸	⿺⿻乜丨母
乹	⿰⿱十⿱日十乚
乺	⿱⿰⿸⿱㇒丿斤乙
乻	⿱⿰方⿱𠆢⺀乙
乼	⿱⿰氵⿱丶王乙
乽	⿱⿱⿻土㇒日乙
乾	⿰⿱十⿱日十⿱𠂉乙
乿	⿰⿱爫糸乚
亀	⿱⺈
亁	⿰⿱十⿱日干⿱𠂉乙
亂	⿰⿳爫⿱乛丶⿵冂⿱厶又乚
亃	⿰⿱米⿰夕⿻⿱一𠃋丨乚
亄	⿰⿱⿱士冖豆乚
亅	亅
了	⿱乛亅
亇	⿱⿰㇒乛亅
予	⿱⿱乛丶⿱乛亅
争	⿱⺈⿻亅
亊	⿻⿳一丷亅
事	⿻⿱⿱一口亅
二	二
亍	⿱一丁
于	⿱一⿻一亅
亏	⿱一⿱一㇉
亐	⿱一⿻一㇉
云	⿱二厶
互	⿱一⿱一
亓	⿱一⿱一⿰丿丨
五	⿱一𫝀
井	⿻二⿰丿丨
亖	⿱二二
亗	⿱山二
亘	⿱一⿱日一
亙	⿱⿵⿸⿱一丨𠃍⺀一
亚	⿱一⿱⿻⿰丨丨丷一
些	⿱⿰止匕二
亜	⿳一⿻口⿰丨丨一
亝	⿱⿱厶⿰厶厶二
亞	⿱一
亟	⿱⿻⿱乛亅⿰口又一
亠	亠
亡	⿱亠𠃊
亢	⿱亠几
亣	⿱丶⿱一⿰丿丨
交	⿱亠⿱八乂
亥	⿱丶⿳一⿰𠄌丿人
亦	⿱亠⿻⿰丿亅八
产	⿳亠丷厂
亨	⿳亠口⿱乛亅
亩	⿱亠田
亪	⿱⿱亠⿻⿰丿亅八乁
享	⿳亠口子
京	⿱亠⿱口小
亭	⿱丁
亮	⿱几
亯	⿱亠⿱口日
亰	⿱⿱亠日小
亱	⿱亠⿰亻⿱日一
亲	⿱立木
亳	⿱⿱㇒〾⿻乚一
亴	⿳土九
亵	⿳亠⿰扌𧘇
亶	⿱⿱亠⿴囗口⿱日一
亷	⿸⿳亠丷厂⿻⿱八⿰丨丨
亸	⿰⿳亠口子⿱丷⿻⿻日丨一
亹	⿱亠⿱⿱⿴𦥑⿵冂⿱一口冖且
人	人
亻	亻
亼	⿱𠆢一
亽	⿱𠆢丶
亾	⿺𠃊人
亿	⿰亻乙
什	⿰亻十
仁	⿰亻二
仂	⿰亻力
仃	⿰亻丁
仄	⿸厂人
仅	⿰亻又
仆	⿰亻卜
仇	⿰亻九
仈	⿰亻八
仉	⿰亻几
今	⿱⿵𠆢丶乛
介	⿱𠆢⿰丿丨
仌	⿱人人
仍	⿰亻⿹𠄎丿
从	从
仏	⿰亻厶
仐	⿱𠆢十
仑	⿱𠆢匕
仒	⿱𠆢⺀
仓	⿱𠆢㔾
仔	⿰亻子
仕	⿰亻士
他	⿰亻⿻乜丨
仗	⿰亻⿻⿻一丿乀
付	⿰亻寸
仙	⿰亻山
仚	⿱𠆢山
仛	⿰亻⿱㇒〾⿻乚一
仜	⿰亻工
仝	⿱𠆢工
仞	⿰亻⿹刀㇒
仟	⿰亻⿱㇒十
仠	⿰亻干
仡	⿰亻⿱𠂉乙
仢	⿰亻⿹勹丶
代	⿰亻⿺⿻㇐㇂丶
令	⿱⿵𠆢丶⿱乛丶
以	⿻人⿰𠄌丶
仦	⿰亻小
仧	⿱⿱⺊一𠆢
仨	⿰亻三
仩	⿰亻⿱⺊一
仪	⿰亻⿶乂丶
仫	⿰亻⿱㇒厶
们	⿰亻门
仭	⿰亻⿻刀乀
仮	⿰亻⿸⿱㇒丿又
仯	⿰亻少
仰	⿰亻⿰卩
仱	⿰亻⿱⿵𠆢丶乛
仲	⿰亻⿻口丨
仳	⿰亻比
仴	⿰亻月
仵	⿰亻⿱𠂉十
件	⿰亻牛
价	⿰亻⿱𠆢⿰丿丨
仸	⿰亻⿱㇒大
仹	⿰亻⿻三丨
仺	⿱𠆢⿷匚一
任	⿰亻⿱㇒士
仼	⿰亻王
份	⿰亻分
仾	⿰亻⿱一⿱一
仿	⿰亻方
伀	⿰亻⿱八厶
企	⿱𠆢止
伂	⿰亻⿻一巾
伃	⿰亻⿱⿱乛丶⿱乛亅
伄	⿰亻⿻弓丨
伅	⿰亻⿻一⿻凵乚
伆	⿰亻勿
伇	⿰亻殳
伈	⿰亻心
伉	⿰亻⿱亠几
伊	⿰亻⿻丿
伋	⿰亻及
伌	⿰亻⿸厂㔾
伍	⿰亻⿱一𫝀
伎	⿰亻支
伏	⿰亻犬
伐	⿰亻戈
休	⿰亻木
伒	⿰亻斤
伓	⿰亻不
伔	⿰亻⿱冖几
伕	⿰亻⿻二人
伖	⿰亻⿸⿻一丿又
众	⿱人从
优	⿰亻⿺⿸⿻一丿乚丶
伙	⿰亻火
会	⿱⿱一厶
伛	⿰亻⿷匚㐅
伜	⿰亻⿱九十
伝	⿰亻⿱二厶
伞	⿱𠆢⿻丷十
伟	⿰亻⿻⿳一一𠃌丨
传	⿰亻⿱⿻一⿻一㇉丶
伡	⿰亻车
伢	⿰亻⿹⿻丁𠃋㇒
伣	⿰亻⿸⿵冂丿乚
伤	⿰亻⿱𠂉力
伥	⿰亻⿸⿺⿻一𠄌㇒乀
伦	⿰亻⿱𠆢匕
伧	⿰亻⿱𠆢㔾
伨	⿰亻⿹勹冫
伩	⿰亻文
伪	⿰亻⿻⿵力丶丶
伫	⿰亻⿱宀一
伬	⿰亻⿸尸㇏
伭	⿰亻⿱亠幺
伮	⿰亻⿰女又
伯	⿰亻白
估	⿰亻古
伱	⿰亻⿱𠆢小
伲	⿰亻⿸尸匕
伳	⿰亻⿻⿱⿻一⿰丨丨一𠃊
伴	⿰亻⿻丷⿻二丨
伵	⿰亻⿴囗⿰丿㇄
伶	⿰亻⿱⿵𠆢丶⿱乛丶
伷	⿰亻由
伸	⿰亻⿻日丨
伹	⿰亻且
伺	⿰亻⿹𠃌⿱一口
伻	⿰亻⿻干丷
似	⿰亻⿻人⿰𠄌丶
伽	⿰亻⿰力口
伾	⿰亻⿱不一
伿	⿰亻⿱口八
佀	⿰亻⿰丨⿱
佁	⿰亻⿱厶口
佂	⿰亻正
佃	⿰亻田
佄	⿰亻⿴⿱⿻一⿰丨丨一一
佅	⿰亻⿻一木
但	⿰亻⿱日一
佇	⿰亻⿱宀丁
佈	⿰亻⿸⿻一丿巾
佉	⿰亻去
佊	⿰亻皮
佋	⿰亻⿱刀口
佌	⿰亻⿰止匕
位	⿰亻立
低	⿰亻⿱氏丶
住	⿰亻⿱丶王
佐	⿰亻⿸⿻一丿工
佑	⿰亻⿸⿻一丿口
佒	⿰亻⿻⿱冂一人
体	⿰亻⿻木一
佔	⿰亻⿱⺊口
何	⿰亻⿹丁口
佖	⿰亻⿻心㇒
佗	⿰亻⿱宀匕
佘	⿱𠆢示
余	⿱𠆢⿱一⿻⿻一亅八
佚	⿰亻⿰㇒⿻二人
佛	⿰亻⿻弓⿰丿丨
作	⿰亻⿸⿱𠂉丨二
佝	⿰亻⿹勹口
佞	⿰亻⿱二女
佟	⿰亻⿱夂⺀
你	⿰亻⿱⿰㇒乛小
佡	⿰亻⿱𠆢山
佢	⿰亻⿷匚
佣	⿰亻⿵⺆⿻二丨
佤	⿰亻瓦
佥	⿳⿲丶丶㇒一
佦	⿰亻石
佧	⿰亻⿱⿱⺊一卜
佨	⿰亻⿹勹巳
佩	⿰亻⿵⿰丿⺄⿱一巾
佪	⿰亻⿴囗口
佫	⿰亻⿱夂口
佬	⿰亻⿱⿻土㇒匕
佭	⿰亻⿱夂⿻⿱一𠃋丨
佮	⿰亻合
佯	⿰亻羊
佰	⿰亻⿱一白
佱	⿱正
佲	⿰亻⿱夕口
佳	⿰亻⿱土土
佴	⿰亻耳
併	⿰亻⿱丷⿱一廾
佶	⿰亻⿱士口
佷	⿰亻⿸⿰𠄌𫜹
佸	⿰亻舌
佹	⿰亻⿸⿱⺈厂㔾
佺	⿰亻⿱𠆢王
佻	⿰亻⿻儿
佼	⿰亻⿱亠⿱八乂
佽	⿰亻⿰冫欠
佾	⿰亻⿱八⺝
使	⿰亻⿻一⿻⿻口丿乀
侀	⿰亻⿰⿱一廾刂
侁	⿰亻⿱⿰㇒土儿
侂	⿰亻⿸广⿱㇒〾⿻乚一
侃	⿰亻⿱口⿲丿丨乚
侄	⿰亻⿱⿱一厶土
侅	⿰亻⿱丶⿳一⿰𠄌丿人
來	⿻木从
侇	⿰亻⿻大弓
侈	⿰亻多
侉	⿰亻⿱大⿱一⿱一㇉
侊	⿰亻光
例	⿰亻⿰歹刂
侌	⿱⿱⿵𠆢丶乛⿱二厶
侍	⿰亻⿱土寸
侎	⿰亻米
侏	⿰亻⿰㇒⿻一木
侐	⿰亻⿱㇒皿
侑	⿰亻⿸⿻一丿⺝
侒	⿰亻⿱宀女
侓	⿰亻⿻⿻丨二
侔	⿰亻⿱厶牛
侕	⿰亻⿱一⿱㇒⿵冂⿰丨丨
侖	⿱⿵冂⿻一⿰丨丨
侗	⿰亻⿵冂⿱一口
侘	⿰亻⿱宀⿱㇒〾⿻乚一
侙	⿰亻⿹⿺⿻㇐㇂丶工
侚	⿰亻⿹勹日
供	⿰亻共
侜	⿰亻舟
依	⿰亻衣
侞	⿰亻⿰女口
侟	⿰亻⿸子
侠	⿰亻⿻⿻二人丷
価	⿰亻⿱一⿻口⿰丨丨
侢	⿰亻⿱一⿻冂土
侣	⿰亻⿱口口
侤	⿰亻⿱⿻土㇒⿱一㇉
侥	⿰亻⿱⿻⿻㇐㇂㇒⿱一儿
侦	⿰亻⿱⺊贝
侧	⿰亻⿰贝刂
侨	⿰亻⿱⿱㇒大⿰丿丨
侩	⿰亻⿱⿱一厶
侪	⿰亻⿱文⿰丿丨
侫	⿰亻⿱⿱亠𠃊女
侬	⿰亻⿻冖𧘇
侭	⿰亻⿱⿸尸㇏⺀
侮	⿰亻⿱𠂉母
侯	⿰亻⿱矢
侰	⿰亻⿸⿻丿口
侱	⿰亻⿱口王
侲	⿰亻⿸厂⿱二
侳	⿰亻⿻从土
侴	⿱⿰⿻丨刂
侵	⿰亻⿳𫜹冖又
侶	⿰亻⿳口㇒口
侷	⿰亻⿸尸⿹𠃌口
侸	⿰亻豆
侹	⿰亻⿺廴⿱㇒土
侺	⿰亻⿱山⿱⿵𠆢丶乛
侻	⿰亻⿱丷⿱口儿
侼	⿰亻⿱子
侽	⿰亻⿱田力
侾	⿰亻⿱⿻土㇒子
便	⿰亻⿱一
俀	⿰亻⿱爫女
俁	⿰亻⿺⿱𠃑大口
係	⿰亻⿱㇒糸
促	⿰亻足
俄	⿰亻⿻⿱㇒扌
俅	⿰亻⿺⿻一⿰冫⿰亅丶
俆	⿰亻⿱𠆢⿱一⿻⿻一亅八
俇	⿰亻⿰犭王
俈	⿰亻⿱⿰㇒土口
俉	⿰亻⿱⿱一𫝀口
俊	⿰亻⿳厶八夊
俋	⿰亻⿱口巴
俌	⿰亻⿺⿻十⺝丶
俍	⿰亻⿱丶⿸⿰𠄌𫜹
俎	⿰⿱人人且
俏	⿰亻⿱⺌⺝
俐	⿰亻⿰禾刂
俑	⿰亻⿱⿱乛丶⿵⺆⿻二丨
俒	⿰亻⿱宀⿱一⿱一儿
俓	⿰亻⿳一巛工
俔	⿰亻見
俕	⿰亻⿱宀木
俖	⿰亻⿱不口
俗	⿰亻谷
俘	⿰亻⿱爫子
俙	⿰亻⿱㐅⿸⿻一丿巾
俚	⿰亻⿻日土
俛	⿰亻⿱⺈⿸⿻口丿乚
俜	⿰亻⿱由⿱一㇉
保	⿰亻⿱口木
俞	⿱⿰⺝刂
俟	⿰亻⿱厶矢
俠	⿰亻⿻大从
信	⿰亻言
俢	⿰亻⿱夂彡
俣	⿰亻⿱口⿱一大
俤	⿰亻⿱丷⿹⿻弓丨㇒
俥	⿰亻車
俦	⿰亻⿸⿻三丨寸
俧	⿰亻⿱士心
俨	⿰亻⿱⿱一⿱⿻⿰丨丨丷一丿
俩	⿰亻⿱一⿻冂从
俪	⿰亻⿱一⿰⿵冂丶⿵冂丶
俫	⿰亻⿻⿻一木丷
俬	⿰亻⿰禾厶
俭	⿰亻⿳⿲丶丶㇒一
修	⿲亻丨⿱夂彡
俯	⿰亻⿸广⿰亻寸
俰	⿰亻⿰禾口
俱	⿰亻⿱八
俲	⿰亻⿰⿱亠⿱八乂力
俳	⿰亻非
俴	⿰亻⿱戈戈
俵	⿰亻⿱⿻土一𧘇
俶	⿰亻⿰⿱⿱⺊一小又
俷	⿰亻⿰月巴
俸	⿰亻⿱⿻三人⿻二丨
俹	⿰亻⿱一
俺	⿰亻⿱大⿻日乚
俻	⿰亻⿱夂田
俼	⿰亻⿳亠厶⺝
俽	⿰亻⿰斤欠
俾	⿰亻⿱⿱㇒⿻日丿十
俿	⿰亻虎
倀	⿰亻⿱
倁	⿰亻⿰矢口
倂	⿰亻⿰⿱㇒干⿱㇒干
倃	⿰亻⿱⿺夂卜口
倄	⿰亻⿱㐅⿸⿻一丿⺝
倅	⿰亻⿱⿱亠从十
倆	⿰亻⿻⿱一丨⿵冂⿰入入
倇	⿰亻⿱宀⿰夕㔾
倈	⿰亻⿻木从
倉	⿱⿵𠆢丶⿸口
倊	⿰亻⿱⿱八厶心
個	⿰亻⿴囗古
倌	⿰亻⿱宀⿰丨⿱
倍	⿰亻⿱立口
倎	⿰亻⿱⿻⿴⿱冂一一⿰丨丨八
倏	⿲亻丨⿱夂犬
倐	⿲亻丨⿱夂火
們	⿰亻門
倒	⿰亻⿰⿱⿱一厶土刂
倓	⿰亻⿱火火
倔	⿰亻⿸尸出
倕	⿰亻⿱⿻⿱㇒十⿱⿻一⿰丨丨一一
倖	⿰亻⿱土⿱丷干
倗	⿰亻⿰月月
倘	⿰亻⿱⺌⿵冂口
候	⿲亻丨⿱矢
倚	⿰亻⿱大⿹丁口
倛	⿰亻⿱八
倜	⿰亻⿵⺆⿱土口
倝	⿰⿱十⿱日十人
倞	⿰亻⿱亠⿱口小
借	⿰亻⿱⿱⿻一⿰丨丨一日
倠	⿰亻隹
倡	⿰亻⿱日日
倢	⿰亻⿻⿱一⿺人⺊
倣	⿰亻⿰方攵
値	⿰亻⿺𠃊⿱十目
倥	⿰亻⿱穴工
倦	⿰亻⿱⿻丷⿻二人㔾
倧	⿰亻⿱宀示
倨	⿰亻⿸尸古
倩	⿰亻⿱⿻土一⺝
倪	⿰亻⿱臼儿
倫	⿰亻⿱⿵冂⿻一⿰丨丨
