㐀	⿱⿰↔⺊⺊一
㒟	⿰亻⿳亠馬𧘇
㒠	⿰亻⿱⿰⿱⺊夕又⿱非一
㒡	⿰亻⿰⿱爫缶⿱㇒糸
㒢	⿰亻⿳⿲口口口⿵冂⿻一⿰丨丨
㒣	⿰亻⿸⿸广⿰亻隹心
㒤	⿰亻⿱耳⿰耳耳
㒥	⿰亻⿱⿻山⿰⿻三丨⿻三丨豆
㒦	⿰亻⿱⿱田⿰田田土
㒧	⿰亻⿰⿱⿱亠⿶凵㐅⿻冂厶隹
㒨	⿰亻⿱⿱⿴𦥑⿱㇒⿴囗㐅大巳
㒩	⿰亻⿱⿱⿱一𧰨⿰虫虫
㒪	⿳𠆢⿰⿷匚⿳丨丨⿷匚⿳丨丨⿰止豕
㒫	⿱儿
㒬	⿺⿱一⿱一儿王
㒭	⿰⿱口儿⿱口儿
㒮	⿺⿱一⿱一儿豕
㒯	⿰光⿱艹
㒰	⿱入工
㒱	⿱入夕
㒲	⿱入日
㒳	⿻⿵冂丨⿰入入
㒴	⿱入出
㒵	⿱白八
㒶	⿱八白
㒷	⿳⿵冂人一八
㒸	⿱丷豕
㒹	⿰⿱十⿱八⿱十⿱八
㒺	⿵冂⿱䒑⿺𠃊人
㒻	⿱⿵冂⿱一一見
㒼	⿱⿱⿻一⿰丨丨一⿻丨⿵冂⿰入入
㒽	⿱⿵冂⿱一一⿱⿻丷⿻二人㔾
㒾	⿱⿵冂⿱一一⿰方⿱𠂉⿻乜丨
㒿	⿱⿵冂⿱一一⿰⿱⿱亠⿶凵㐅⿻冂厶隹
㓀	⿱冖卜
㓁	⿱冖儿
㓂	⿱冖⿺⿱一⿱一儿女
㓃	⿱冖⿰訁⿱㇒〾⿻乚一
㓄	⿰⿱⿱厶⿰厶厶⿱𠆢彡⿸⿻冖丿乚
㓅	⿰冫丁
㓆	⿰冫⿱𠆢匕
㓇	⿰冫⿱㇒大
㓈	⿰冫石
㓉	⿰冫舌
㓊	⿰冫⿵冂⿱一口
㓋	⿰冫共
㓌	⿰冫⿱𠆢王
㓍	⿰冫⿱亠⿱厶儿
㓎	⿰冫⿳𫜹冖又
㓏	⿰冫⿵冂⿱八口
㓐	⿰冫⿱土
㓑	⿰冫⿱土⿱丷干
㓒	⿱⿰冫〾⿻乚一⿱𠆢⺗
㓓	⿰冫⿱十⿵冂⿱丷干
㓔	⿰冫⿰身寸
㓕	⿰冫⿵⿵⿰丿戈一火
㓖	⿰冫⿻⿻日丨⿱⿱艹一一
㓗	⿰冫⿱⿰⿻三丨刀糸
㓘	⿵⿵⿰丿⺄歹⿻王丶
㓙	⿶凵文
㓚	⿰工刂
㓛	⿰工刀
㓜	⿰幺刀
㓝	⿰⿻二⿰丿丨刂
㓞	⿰⿻三丨刀
㓟	⿰皮刂
㓠	⿰⿱⺊口刂
㓡	⿰缶刂
㓢	⿰⿱夂口刂
㓣	⿰合刂
㓤	⿰⿱士口刂
㓥	⿰⿱⺌𫜹刂
㓦	⿰⿱一白刂
㓧	⿰⿱⿱⿵𠆢丶乛口刂
㓨	⿰⿻大从刂
㓩	⿰角刂
㓪	⿰刀
㓫	⿰⿱大⿱一廾刂
㓬	⿰⿱⿻丷⿻二人刀刂
㓭	⿰⿱日⿹勹⿺𠃊人刂
㓮	⿰⿵⺆⿱土口刂
㓯	⿰⿱巛田刂
